goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2016
cpu: AMD Ryzen 7 7840HS w/ Radeon 780M Graphics     
BenchmarkDay07Part2-16    	     682	   1778649 ns/op	 2353147 B/op	   24375 allocs/op
BenchmarkDay07Part2-16    	     662	   1795669 ns/op	 2353145 B/op	   24375 allocs/op
BenchmarkDay07Part2-16    	     686	   1785040 ns/op	 2353150 B/op	   24375 allocs/op
BenchmarkDay07Part2-16    	     661	   1788606 ns/op	 2353137 B/op	   24375 allocs/op
BenchmarkDay07Part2-16    	     655	   1766152 ns/op	 2353149 B/op	   24376 allocs/op
BenchmarkDay07Part2-16    	     669	   1775932 ns/op	 2353152 B/op	   24375 allocs/op
BenchmarkDay07Part2-16    	     686	   1778019 ns/op	 2353147 B/op	   24375 allocs/op
BenchmarkDay07Part2-16    	     669	   1793114 ns/op	 2353146 B/op	   24375 allocs/op
BenchmarkDay08Part1-16    	   77529	     15913 ns/op	    5648 B/op	     113 allocs/op
BenchmarkDay08Part1-16    	   77812	     15812 ns/op	    5648 B/op	     113 allocs/op
BenchmarkDay08Part1-16    	   72585	     15838 ns/op	    5648 B/op	     113 allocs/op
BenchmarkDay08Part1-16    	   72852	     16088 ns/op	    5648 B/op	     113 allocs/op
BenchmarkDay08Part1-16    	   73579	     16033 ns/op	    5648 B/op	     113 allocs/op
BenchmarkDay08Part1-16    	   74811	     15901 ns/op	    5648 B/op	     113 allocs/op
BenchmarkDay08Part1-16    	   73358	     15683 ns/op	    5648 B/op	     113 allocs/op
BenchmarkDay08Part1-16    	   76504	     15712 ns/op	    5648 B/op	     113 allocs/op
BenchmarkDay08Part1-16    	   74480	     15776 ns/op	    5648 B/op	     113 allocs/op
BenchmarkDay08Part1-16    	   72799	     16339 ns/op	    5648 B/op	     113 allocs/op
BenchmarkDay08Part2-16    	   17835	     67941 ns/op	   51688 B/op	     406 allocs/op
BenchmarkDay08Part2-16    	   17631	     68844 ns/op	   51688 B/op	     406 allocs/op
BenchmarkDay08Part2-16    	   17580	     67826 ns/op	   51688 B/op	     406 allocs/op
BenchmarkDay08Part2-16    	   17377	     68424 ns/op	   51688 B/op	     406 allocs/op
BenchmarkDay08Part2-16    	   17984	     67788 ns/op	   51688 B/op	     406 allocs/op
BenchmarkDay08Part2-16    	   17708	     66542 ns/op	   51688 B/op	     406 allocs/op
BenchmarkDay08Part2-16    	   18180	     65446 ns/op	   51688 B/op	     406 allocs/op
BenchmarkDay08Part2-16    	   17812	     67613 ns/op	   51688 B/op	     406 allocs/op
BenchmarkDay08Part2-16    	   18134	     66855 ns/op	   51688 B/op	     406 allocs/op
BenchmarkDay08Part2-16    	   17618	     67756 ns/op	   51688 B/op	     406 allocs/op
BenchmarkDay09Part1-16    	   60772	     19517 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-16    	   61400	     19484 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-16    	   61270	     19462 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-16    	   62070	     19387 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-16    	   61190	     19429 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-16    	   61444	     19495 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-16    	   61052	     19492 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-16    	   61131	     19488 ns/op	       0 B/op	       0 allocs/op
